sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
64,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
65,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
66,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
67,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
68,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
69,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
70,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
71,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
72,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
73,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
74,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
75,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
76,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
77,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
78,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
79,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
80,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
81,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
82,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
83,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
84,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
85,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
86,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
87,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
88,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
89,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
90,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
91,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
92,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
93,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
94,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
95,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
96,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
97,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
98,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
99,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
100,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
