sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
0,0x003ff619,-1.237793,0,0,1,202,1.010,234,486,1243
1,0x003ff517,-1.363770,0,0,1,201,1.005,1246,1498,2253
2,0x003ff655,-1.208496,0,0,1,202,1.010,2254,2506,3263
3,0x003ff5e3,-1.264160,0,0,1,201,1.005,3266,3518,4273
4,0x003ff435,-1.474121,0,0,1,202,1.010,4274,4526,5283
5,0x003ff581,-1.312012,0,0,1,202,1.010,5286,5538,6298
6,0x003ff791,-1.054199,0,0,1,203,1.015,6298,6550,7313
7,0x003ff5e1,-1.265137,0,0,1,203,1.015,7314,7566,8328
8,0x003ff648,-1.214844,0,0,1,203,1.015,8330,8582,9343
9,0x003ff6ee,-1.133789,0,0,1,202,1.010,9346,9598,10358
10,0x003ff57f,-1.312988,0,0,1,203,1.015,10358,10610,11373
11,0x003ff582,-1.311523,0,0,1,203,1.015,11374,11626,12388
12,0x003ff876,-0.942383,0,0,1,203,1.015,12390,12642,13403
13,0x003ff6b4,-1.162109,0,0,1,202,1.010,13406,13658,14418
14,0x003ff5dd,-1.267090,0,0,1,203,1.015,14418,14670,15433
15,0x003ff68e,-1.180664,0,0,1,203,1.015,15434,15686,16448
16,0x003ff4fc,-1.376953,0,0,1,203,1.015,16450,16702,17463
17,0x003ff500,-1.375000,0,0,1,202,1.010,17466,17718,18478
18,0x003ff85e,-0.954102,0,0,1,203,1.015,18478,18730,19493
19,0x003ff70b,-1.119629,0,0,1,203,1.015,19494,19746,20508
20,0x003ff648,-1.214844,0,0,1,203,1.015,20510,20762,21523
21,0x003ff71c,-1.111328,0,0,1,202,1.010,21526,21778,22538
22,0x003ff58e,-1.305664,0,0,1,203,1.015,22538,22790,23553
23,0x003ff59e,-1.297852,0,0,1,203,1.015,23554,23806,24568
24,0x003ff882,-0.936523,0,0,1,203,1.015,24570,24822,25583
25,0x003ff6bf,-1.156738,0,0,1,202,1.010,25586,25838,26598
26,0x003ff66b,-1.197754,0,0,1,203,1.015,26598,26850,27613
27,0x003ff7a8,-1.042969,0,0,1,203,1.015,27614,27866,28628
28,0x003ff5b3,-1.287598,0,0,1,203,1.015,28630,28882,29643
29,0x003ff5ff,-1.250488,0,0,1,202,1.010,29646,29898,30658
30,0x003ff867,-0.949707,0,0,1,203,1.015,30658,30910,31673
31,0x003ff6ee,-1.133789,0,0,1,203,1.015,31674,31926,32688
32,0x003ff74f,-1.086426,0,0,1,203,1.015,32690,32942,33703
33,0x003ff801,-0.999512,0,0,1,202,1.010,33706,33958,34718
34,0x003ff564,-1.326172,0,0,1,203,1.015,34718,34970,35733
35,0x003ff5a7,-1.293457,0,0,1,203,1.015,35734,35986,36748
36,0x003ff817,-0.988770,0,0,1,203,1.015,36750,37002,37763
37,0x003ff6bd,-1.157715,0,0,1,202,1.010,37766,38018,38778
38,0x003ff6a7,-1.168457,0,0,1,203,1.015,38778,39030,39793
39,0x003ff7a9,-1.042480,0,0,1,203,1.015,39794,40046,40808
40,0x003ff54d,-1.337402,0,0,1,203,1.015,40810,41062,41823
41,0x003ff5a1,-1.296387,0,0,1,202,1.010,41826,42078,42838
42,0x003ff8a7,-0.918457,0,0,1,203,1.015,42838,43090,43853
43,0x003ff808,-0.996094,0,0,1,203,1.015,43854,44106,44868
44,0x003ff878,-0.941406,0,0,1,203,1.015,44870,45122,45883
45,0x003ff9f7,-0.754395,0,0,1,202,1.010,45886,46138,46898
46,0x003ff715,-1.114746,0,0,1,203,1.015,46898,47150,47913
47,0x003ff6e5,-1.138184,0,0,1,203,1.015,47914,48166,48928
48,0x003ffbcf,-0.523926,0,0,1,203,1.015,48930,49182,49943
49,0x003ffc16,-0.489258,0,0,1,202,1.010,49946,50198,50958
50,0x003ffc38,-0.472656,0,0,1,203,1.015,50958,51210,51973
51,0x00000050,0.039062,0,1,0,203,1.015,51974,52226,52988
52,0x003ffc0d,-0.493652,0,0,1,203,1.015,53538,53790,54553
53,0x003ffbb5,-0.536621,0,0,1,203,1.015,54554,54806,55568
54,0x00000429,0.520020,0,1,0,203,1.015,55570,55822,56583
55,0x00000491,0.570801,0,1,0,203,1.015,57134,57386,58148
56,0x00000400,0.500000,0,1,0,203,1.015,58698,58950,59713
57,0x00000adc,1.357422,0,1,0,202,1.010,60266,60518,61278
58,0x00000605,0.752441,0,1,0,203,1.015,61830,62082,62843
59,0x000007c4,0.970703,0,1,0,203,1.015,63394,63646,64408
60,0x00000fdc,1.982422,0,1,0,203,1.015,64958,65210,65973
61,0x000010c0,2.093750,0,1,0,202,1.010,66526,66778,67538
62,0x00001068,2.050781,0,1,0,203,1.015,68090,68342,69103
63,0x0000174e,2.913086,0,1,0,203,1.015,69654,69906,70668
64,0x00001815,3.010254,0,1,0,203,1.015,71218,71470,72233
65,0x00001513,2.634277,0,1,0,202,1.010,72786,73038,73798
66,0x00001cc9,3.598145,0,1,0,203,1.015,74350,74602,75363
67,0x00001aab,3.333496,0,1,0,203,1.015,75914,76166,76928
68,0x000012d0,2.351562,0,1,0,203,1.015,77478,77730,78493
69,0x00001960,3.171875,0,1,0,202,1.010,79046,79298,80058
70,0x00001bff,3.499512,0,1,0,203,1.015,80610,80862,81623
71,0x00001c99,3.574707,0,1,0,203,1.015,82174,82426,83188
72,0x00002219,4.262207,0,1,0,203,1.015,83738,83990,84753
73,0x000021fe,4.249023,0,1,0,202,1.010,85306,85558,86318
74,0x0000191f,3.140137,0,1,0,203,1.015,86870,87122,87883
75,0x00001b4b,3.411621,0,1,0,203,1.015,88434,88686,89448
76,0x000022b1,4.336426,0,1,0,203,1.015,89998,90250,91013
