sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
85,0x003ff1f5,-1.755371,0,0,1,202,1.010,86486,86738,87498
86,0x003ff267,-1.699707,0,0,1,203,1.015,87498,87750,88513
87,0x003ff232,-1.725586,0,0,1,203,1.015,88514,88766,89528
88,0x003ff205,-1.747559,0,0,1,203,1.015,89530,89782,90543
89,0x003ff1e6,-1.762695,0,0,1,202,1.010,90546,90798,91558
90,0x003ff1b9,-1.784668,0,0,1,203,1.015,91558,91810,92573
91,0x003fef8b,-2.057129,0,0,1,203,1.015,92574,92826,93588
92,0x003ff015,-1.989746,0,0,1,203,1.015,93590,93842,94603
93,0x003ff05f,-1.953613,0,0,1,202,1.010,94606,94858,95618
94,0x003ff001,-1.999512,0,0,1,203,1.015,95618,95870,96633
95,0x003fef3a,-2.096680,0,0,1,203,1.015,96634,96886,97648
96,0x003fefee,-2.008789,0,0,1,203,1.015,97650,97902,98663
97,0x003fedbc,-2.283203,0,0,1,202,1.010,98666,98918,99678
98,0x003fee6e,-2.196289,0,0,1,203,1.015,99678,99930,100693
99,0x003fef46,-2.090820,0,0,1,203,1.015,100694,100946,101708
100,0x003fee46,-2.215820,0,0,1,203,1.015,101710,101962,102723
101,0x003fedb9,-2.284668,0,0,1,202,1.010,102726,102978,103738
102,0x003feeb7,-2.160645,0,0,1,203,1.015,103738,103990,104753
103,0x003fecd6,-2.395508,0,0,1,203,1.015,104754,105006,105768
104,0x003fed34,-2.349609,0,0,1,203,1.015,105770,106022,106783
105,0x003fee5b,-2.205566,0,0,1,202,1.010,106786,107038,107798
106,0x003fed61,-2.327637,0,0,1,203,1.015,107798,108050,108813
107,0x003fed17,-2.363770,0,0,1,203,1.015,108814,109066,109828
108,0x003feeef,-2.133301,0,0,1,203,1.015,109830,110082,110843
109,0x003fed18,-2.363281,0,0,1,202,1.010,110846,111098,111858
110,0x003fecb0,-2.414062,0,0,1,203,1.015,111858,112110,112873
111,0x003fee95,-2.177246,0,0,1,203,1.015,112874,113126,113888
112,0x003fee18,-2.238281,0,0,1,203,1.015,113890,114142,114903
113,0x003fed23,-2.357910,0,0,1,202,1.010,114906,115158,115918
114,0x003fee1e,-2.235352,0,0,1,203,1.015,115918,116170,116933
115,0x003fed77,-2.316895,0,0,1,203,1.015,116934,117186,117948
116,0x003fed08,-2.371094,0,0,1,203,1.015,117950,118202,118963
117,0x003fee01,-2.249512,0,0,1,202,1.010,118966,119218,119978
118,0x003fedeb,-2.260254,0,0,1,203,1.015,119978,120230,120993
119,0x003fed3b,-2.346191,0,0,1,203,1.015,120994,121246,122008
120,0x003fedea,-2.260742,0,0,1,203,1.015,122010,122262,123023
121,0x003fed05,-2.372559,0,0,1,202,1.010,123026,123278,124038
122,0x003fed03,-2.373535,0,0,1,203,1.015,124038,124290,125053
123,0x003fee2b,-2.229004,0,0,1,203,1.015,125054,125306,126068
124,0x003fee36,-2.223633,0,0,1,203,1.015,126070,126322,127083
125,0x003feca4,-2.419922,0,0,1,202,1.010,127086,127338,128098
126,0x003fede0,-2.265625,0,0,1,203,1.015,128098,128350,129113
127,0x003fed8b,-2.307129,0,0,1,203,1.015,129114,129366,130128
128,0x003fed32,-2.350586,0,0,1,203,1.015,130130,130382,131143
129,0x003fed89,-2.308105,0,0,1,202,1.010,131146,131398,132158
