event_index,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_data_hex
0,52,52,0x00000693,0,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,1,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,2,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,3,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,4,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,5,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,6,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,7,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,8,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,9,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,10,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,11,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,12,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,13,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100100100
0,52,52,0x00000693,14,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000f00f00f00100
0,52,52,0x00000693,15,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f00f00
0,52,52,0x00000693,16,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,17,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,18,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,19,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,20,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,21,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,22,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,23,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,24,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,25,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,26,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,27,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,28,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,29,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,30,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,31,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,32,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,33,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,34,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,35,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,36,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,37,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,38,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,39,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,40,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,41,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,42,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,43,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,44,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,45,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,46,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,47,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,48,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,49,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,50,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,51,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,52,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,53,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,54,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,55,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,52,52,0x00000693,56,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
