sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel
111,bipolar_sweep,111,111,10,50.000,256,-256,0
112,bipolar_sweep,112,112,10,50.000,256,-256,0
113,bipolar_sweep,113,113,10,50.000,256,-256,0
114,bipolar_sweep,114,114,10,50.000,256,-256,0
115,bipolar_sweep,115,115,10,50.000,256,-256,0
116,bipolar_sweep,116,116,10,50.000,256,-256,0
117,bipolar_sweep,117,117,10,50.000,256,-256,0
118,bipolar_sweep,118,118,10,50.000,256,-256,0
119,bipolar_sweep,119,119,10,50.000,256,-256,0
120,bipolar_sweep,120,120,10,50.000,256,-256,0
121,bipolar_sweep,121,121,10,50.000,256,-256,0
122,bipolar_sweep,122,122,10,50.000,256,-256,0
123,bipolar_sweep,123,123,10,50.000,256,-256,0
124,bipolar_sweep,124,124,10,50.000,256,-256,0
125,bipolar_sweep,125,125,10,50.000,256,-256,0
126,bipolar_sweep,126,126,10,50.000,256,-256,0
127,bipolar_sweep,127,127,10,50.000,256,-256,0
128,bipolar_sweep,128,128,10,50.000,256,-256,0
129,bipolar_sweep,129,129,10,50.000,256,-256,0
130,bipolar_sweep,130,130,10,50.000,256,-256,0
131,bipolar_sweep,131,131,10,50.000,256,-256,0
132,bipolar_sweep,132,132,10,50.000,256,-256,0
133,bipolar_sweep,133,133,10,50.000,256,-256,0
134,bipolar_sweep,134,134,10,50.000,256,-256,0
135,bipolar_sweep,135,135,10,50.000,256,-256,0
136,bipolar_sweep,136,136,10,50.000,256,-256,0
137,bipolar_sweep,137,137,10,50.000,256,-256,0
138,bipolar_sweep,138,138,10,50.000,256,-256,0
139,bipolar_sweep,139,139,10,50.000,256,-256,0
140,bipolar_sweep,140,140,10,50.000,256,-256,0
141,bipolar_sweep,141,141,10,50.000,256,-256,0
142,bipolar_sweep,142,142,10,50.000,256,-256,0
143,bipolar_sweep,143,143,10,50.000,256,-256,0
144,bipolar_sweep,144,144,10,50.000,256,-256,0
145,bipolar_sweep,145,145,10,50.000,256,-256,0
146,bipolar_sweep,146,146,10,50.000,256,-256,0
147,bipolar_sweep,147,147,10,50.000,256,-256,0
148,bipolar_sweep,148,148,10,50.000,256,-256,0
149,bipolar_sweep,149,149,10,50.000,256,-256,0
150,bipolar_sweep,150,150,10,50.000,256,-256,0
151,bipolar_sweep,151,151,10,50.000,256,-256,0
152,bipolar_sweep,152,152,10,50.000,256,-256,0
153,bipolar_sweep,153,153,10,50.000,256,-256,0
154,bipolar_sweep,154,154,10,50.000,256,-256,0
155,bipolar_sweep,155,155,10,50.000,256,-256,0
156,bipolar_sweep,156,156,10,50.000,256,-256,0
157,bipolar_sweep,157,157,10,50.000,256,-256,0
158,bipolar_sweep,158,158,10,50.000,256,-256,0
159,bipolar_sweep,159,159,10,50.000,256,-256,0
160,bipolar_sweep,160,160,10,50.000,256,-256,0
161,bipolar_sweep,161,161,10,50.000,256,-256,0
162,bipolar_sweep,162,162,10,50.000,256,-256,0
163,bipolar_sweep,163,163,10,50.000,256,-256,0
164,bipolar_sweep,164,164,10,50.000,256,-256,0
165,bipolar_sweep,165,165,10,50.000,256,-256,0
166,bipolar_sweep,166,166,10,50.000,256,-256,0
167,bipolar_sweep,167,167,10,50.000,256,-256,0
168,bipolar_sweep,168,168,10,50.000,256,-256,0
169,bipolar_sweep,169,169,10,50.000,256,-256,0
170,bipolar_sweep,170,170,10,50.000,256,-256,0
171,bipolar_sweep,171,171,10,50.000,256,-256,0
172,bipolar_sweep,172,172,10,50.000,256,-256,0
173,bipolar_sweep,173,173,10,50.000,256,-256,0
174,bipolar_sweep,174,174,10,50.000,256,-256,0
175,bipolar_sweep,175,175,10,50.000,256,-256,0
176,bipolar_sweep,176,176,10,50.000,256,-256,0
177,bipolar_sweep,177,177,10,50.000,256,-256,0
178,bipolar_sweep,178,178,10,50.000,256,-256,0
179,bipolar_sweep,179,179,10,50.000,256,-256,0
180,bipolar_sweep,180,180,10,50.000,256,-256,0
181,bipolar_sweep,181,181,10,50.000,256,-256,0
182,bipolar_sweep,182,182,10,50.000,256,-256,0
183,bipolar_sweep,183,183,10,50.000,256,-256,0
184,bipolar_sweep,184,184,10,50.000,256,-256,0
185,bipolar_sweep,185,185,10,50.000,256,-256,0
186,bipolar_sweep,186,186,10,50.000,256,-256,0
187,bipolar_sweep,187,187,10,50.000,256,-256,0
188,bipolar_sweep,188,188,10,50.000,256,-256,0
189,bipolar_sweep,189,189,10,50.000,256,-256,0
190,bipolar_sweep,190,190,10,50.000,256,-256,0
191,bipolar_sweep,191,191,10,50.000,256,-256,0
192,bipolar_sweep,192,192,10,50.000,256,-256,0
