sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
0,0x003fecea,-2.385742,0,0,1,202,1.010,234,486,1243
1,0x003fecbf,-2.406738,0,0,1,201,1.005,1246,1498,2253
2,0x003fed3c,-2.345703,0,0,1,202,1.010,2254,2506,3263
3,0x003fecc8,-2.402344,0,0,1,201,1.005,3266,3518,4273
4,0x003fec63,-2.451660,0,0,1,202,1.010,4274,4526,5283
5,0x003fecd9,-2.394043,0,0,1,202,1.010,5286,5538,6298
6,0x003fed0c,-2.369141,0,0,1,203,1.015,6298,6550,7313
7,0x003fed2c,-2.353516,0,0,1,203,1.015,7314,7566,8328
8,0x003fed06,-2.372070,0,0,1,203,1.015,8330,8582,9343
9,0x003fed27,-2.355957,0,0,1,202,1.010,9346,9598,10358
10,0x003fec6f,-2.445801,0,0,1,203,1.015,10358,10610,11373
11,0x003fed53,-2.334473,0,0,1,203,1.015,11374,11626,12388
12,0x003fee07,-2.246582,0,0,1,203,1.015,12390,12642,13403
13,0x003fed46,-2.340820,0,0,1,202,1.010,13406,13658,14418
14,0x003fecc9,-2.401855,0,0,1,203,1.015,14418,14670,15433
15,0x003fed5d,-2.329590,0,0,1,203,1.015,15434,15686,16448
16,0x003fec26,-2.481445,0,0,1,203,1.015,16450,16702,17463
17,0x003fed24,-2.357422,0,0,1,202,1.010,17466,17718,18478
18,0x003fed33,-2.350098,0,0,1,203,1.015,18478,18730,19493
19,0x003fed50,-2.335938,0,0,1,203,1.015,19494,19746,20508
20,0x003fecd1,-2.397949,0,0,1,203,1.015,20510,20762,21523
21,0x003fed31,-2.351074,0,0,1,202,1.010,21526,21778,22538
22,0x003fec0d,-2.493652,0,0,1,203,1.015,22538,22790,23553
23,0x003fed12,-2.366211,0,0,1,203,1.015,23554,23806,24568
24,0x003fed0d,-2.368652,0,0,1,203,1.015,24570,24822,25583
25,0x003fed40,-2.343750,0,0,1,202,1.010,25586,25838,26598
26,0x003fec80,-2.437500,0,0,1,203,1.015,26598,26850,27613
27,0x003fedab,-2.291504,0,0,1,203,1.015,27614,27866,28628
28,0x003fec17,-2.488770,0,0,1,203,1.015,28630,28882,29643
29,0x003fec5d,-2.454590,0,0,1,202,1.010,29646,29898,30658
30,0x003fed04,-2.373047,0,0,1,203,1.015,30658,30910,31673
31,0x003fecf6,-2.379883,0,0,1,203,1.015,31674,31926,32688
32,0x003fec5b,-2.455566,0,0,1,203,1.015,32690,32942,33703
33,0x003fedbf,-2.281738,0,0,1,202,1.010,33706,33958,34718
34,0x003fecc4,-2.404297,0,0,1,203,1.015,34718,34970,35733
35,0x003fec1a,-2.487305,0,0,1,203,1.015,35734,35986,36748
36,0x003fed71,-2.319824,0,0,1,203,1.015,36750,37002,37763
37,0x003feda3,-2.295410,0,0,1,202,1.010,37766,38018,38778
38,0x003fec4f,-2.461426,0,0,1,203,1.015,38778,39030,39793
39,0x003fed6a,-2.323242,0,0,1,203,1.015,39794,40046,40808
40,0x003fed25,-2.356934,0,0,1,203,1.015,40810,41062,41823
41,0x003feb5c,-2.580078,0,0,1,202,1.010,41826,42078,42838
42,0x003fedb3,-2.287598,0,0,1,203,1.015,42838,43090,43853
43,0x003feded,-2.259277,0,0,1,203,1.015,43854,44106,44868
44,0x003fed77,-2.316895,0,0,1,203,1.015,44870,45122,45883
45,0x003fee80,-2.187500,0,0,1,202,1.010,45886,46138,46898
46,0x003fee59,-2.206543,0,0,1,203,1.015,46898,47150,47913
47,0x003fec9a,-2.424805,0,0,1,203,1.015,47914,48166,48928
48,0x003fefa4,-2.044922,0,0,1,203,1.015,48930,49182,49943
49,0x003ff105,-1.872559,0,0,1,202,1.010,49946,50198,50958
50,0x003ff070,-1.945312,0,0,1,203,1.015,50958,51210,51973
51,0x003ff279,-1.690918,0,0,1,203,1.015,51974,52226,52988
