sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
85,0x003fee24,-2.232422,0,0,1,202,1.010,86486,86738,87498
86,0x003fee34,-2.224609,0,0,1,203,1.015,87498,87750,88513
87,0x003fee76,-2.192383,0,0,1,203,1.015,88514,88766,89528
88,0x003fee6a,-2.198242,0,0,1,203,1.015,89530,89782,90543
89,0x003fef5a,-2.081055,0,0,1,202,1.010,90546,90798,91558
90,0x003feef7,-2.129395,0,0,1,203,1.015,91558,91810,92573
91,0x003fedf2,-2.256836,0,0,1,203,1.015,92574,92826,93588
92,0x003fee40,-2.218750,0,0,1,203,1.015,93590,93842,94603
93,0x003fee59,-2.206543,0,0,1,202,1.010,94606,94858,95618
94,0x003fee96,-2.176758,0,0,1,203,1.015,95618,95870,96633
95,0x003fef13,-2.115723,0,0,1,203,1.015,96634,96886,97648
96,0x003fee82,-2.186523,0,0,1,203,1.015,97650,97902,98663
97,0x003fee56,-2.208008,0,0,1,202,1.010,98666,98918,99678
98,0x003feebd,-2.157715,0,0,1,203,1.015,99678,99930,100693
99,0x003fee79,-2.190918,0,0,1,203,1.015,100694,100946,101708
100,0x003fee01,-2.249512,0,0,1,203,1.015,101710,101962,102723
101,0x003feec2,-2.155273,0,0,1,202,1.010,102726,102978,103738
102,0x003fee3e,-2.219727,0,0,1,203,1.015,103738,103990,104753
103,0x003fee35,-2.224121,0,0,1,203,1.015,104754,105006,105768
104,0x003fee84,-2.185547,0,0,1,203,1.015,105770,106022,106783
105,0x003feea4,-2.169922,0,0,1,202,1.010,106786,107038,107798
106,0x003fedf5,-2.255371,0,0,1,203,1.015,107798,108050,108813
107,0x003fee8a,-2.182617,0,0,1,203,1.015,108814,109066,109828
108,0x003fee35,-2.224121,0,0,1,203,1.015,109830,110082,110843
109,0x003fee9e,-2.172852,0,0,1,202,1.010,110846,111098,111858
110,0x003feeb7,-2.160645,0,0,1,203,1.015,111858,112110,112873
111,0x003fef5f,-2.078613,0,0,1,203,1.015,112874,113126,113888
112,0x003fee5d,-2.204590,0,0,1,203,1.015,113890,114142,114903
113,0x003fee17,-2.238770,0,0,1,202,1.010,114906,115158,115918
114,0x003fee20,-2.234375,0,0,1,203,1.015,115918,116170,116933
115,0x003feeb9,-2.159668,0,0,1,203,1.015,116934,117186,117948
116,0x003feecc,-2.150391,0,0,1,203,1.015,117950,118202,118963
117,0x003fef07,-2.121582,0,0,1,202,1.010,118966,119218,119978
118,0x003fede3,-2.264160,0,0,1,203,1.015,119978,120230,120993
119,0x003fee09,-2.245605,0,0,1,203,1.015,120994,121246,122008
120,0x003fee06,-2.247070,0,0,1,203,1.015,122010,122262,123023
121,0x003fee19,-2.237793,0,0,1,202,1.010,123026,123278,124038
122,0x003fee9a,-2.174805,0,0,1,203,1.015,124038,124290,125053
123,0x003fee68,-2.199219,0,0,1,203,1.015,125054,125306,126068
124,0x003fed87,-2.309082,0,0,1,203,1.015,126070,126322,127083
125,0x003feda5,-2.294434,0,0,1,202,1.010,127086,127338,128098
126,0x003fed9f,-2.297363,0,0,1,203,1.015,128098,128350,129113
127,0x003fedb5,-2.286621,0,0,1,203,1.015,129114,129366,130128
128,0x003fee3e,-2.219727,0,0,1,203,1.015,130130,130382,131143
129,0x003fedbc,-2.283203,0,0,1,202,1.010,131146,131398,132158
130,0x003fed4f,-2.336426,0,0,1,203,1.015,132158,132410,133173
131,0x003fed65,-2.325684,0,0,1,203,1.015,133174,133426,134188
132,0x003fed92,-2.303711,0,0,1,203,1.015,134190,134442,135203
133,0x003fedea,-2.260742,0,0,1,202,1.010,135206,135458,136218
134,0x003fedf4,-2.255859,0,0,1,203,1.015,136218,136470,137233
135,0x003fed2d,-2.353027,0,0,1,203,1.015,137234,137486,138248
136,0x003fed3b,-2.346191,0,0,1,203,1.015,138250,138502,139263
137,0x003fed6e,-2.321289,0,0,1,202,1.010,139266,139518,140278
138,0x003fed84,-2.310547,0,0,1,203,1.015,140278,140530,141293
139,0x003fede8,-2.261719,0,0,1,203,1.015,141294,141546,142308
140,0x003fede9,-2.261230,0,0,1,203,1.015,142310,142562,143323
141,0x003fed0c,-2.369141,0,0,1,202,1.010,143326,143578,144338
142,0x003fed27,-2.355957,0,0,1,203,1.015,144338,144590,145353
143,0x003fedb1,-2.288574,0,0,1,203,1.015,145354,145606,146368
144,0x003fedd9,-2.269043,0,0,1,203,1.015,146370,146622,147383
145,0x003fee4d,-2.212402,0,0,1,202,1.010,147386,147638,148398
146,0x003feda6,-2.293945,0,0,1,203,1.015,148398,148650,149413
147,0x003fed41,-2.343262,0,0,1,203,1.015,149414,149666,150428
148,0x003fed65,-2.325684,0,0,1,203,1.015,150430,150682,151443
149,0x003fedb4,-2.287109,0,0,1,202,1.010,151446,151698,152458
150,0x003fee91,-2.179199,0,0,1,203,1.015,152458,152710,153473
151,0x003fee50,-2.210938,0,0,1,203,1.015,153474,153726,154488
152,0x003feda4,-2.294922,0,0,1,203,1.015,154490,154742,155503
153,0x003fed66,-2.325195,0,0,1,202,1.010,155506,155758,156518
154,0x003fed39,-2.347168,0,0,1,203,1.015,156518,156770,157533
155,0x003fee3d,-2.220215,0,0,1,203,1.015,157534,157786,158548
156,0x003fef3d,-2.095215,0,0,1,203,1.015,158550,158802,159563
157,0x003fee91,-2.179199,0,0,1,202,1.010,159566,159818,160578
158,0x003fedf3,-2.256348,0,0,1,203,1.015,160578,160830,161593
159,0x003fedd4,-2.271484,0,0,1,203,1.015,161594,161846,162608
160,0x003fedd3,-2.271973,0,0,1,203,1.015,162610,162862,163623
161,0x003fee65,-2.200684,0,0,1,202,1.010,163626,163878,164638
162,0x003fefbe,-2.032227,0,0,1,203,1.015,164638,164890,165653
