event_index,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_data_hex
0,40,40,0x00000bf9,33,0,0x00300b001fc2014043fbe00701dffcf8d067faf013feb03700300b001fc2014043fbe00701dffcf8d067faf013feb037
0,40,40,0x00000bf9,34,0,0x05c032fcdff403701601bfb2005016fbd04bfb9fe502303405c032fcdff403701601bfb2005016fbd04bfb9fe5023034
0,40,40,0x00000bf9,35,0,0x01c01afbffbd04cfd700cfaefdb03b038faeff301afdd05c01c01afbffbd04cfd700cfaefdb03b038faeff301afdd05c
0,40,40,0x00000bf9,36,0,0xfb6062005fec017fe1ffefee063fe001cfca027001010fe5fb6062005fec017fe1ffefee063fe001cfca027001010fe5
0,40,40,0x00000bf9,37,0,0xf5a0aa092f4bfd2fa505cfec02b01bfb0ff703100a00ffbef5a0aa092f4bfd2fa505cfec02b01bfb0ff703100a00ffbe
0,40,40,0x00000bf9,38,0,0x07f006fe300303dfe3fc207606c00c003fb2fc1033027fa707f006fe300303dfe3fc207606c00c003fb2fc1033027fa7
0,40,40,0x00000bf9,39,0,0x02a04aff1f77023fdcfef00101ef8f003fd300afca00b01102a04aff1f77023fdcfef00101ef8f003fd300afca00b011
0,40,40,0x00000bf9,40,0,0xff5ff8008fc0fcd088fd4fecfdc058fc504dfe4fccffa053ff5ff8008fc0fcd088fd4fecfdc058fc504dfe4fccffa053
0,40,40,0x00000bf9,41,0,0x02cfe701c00502f01c012fb6fcc05ffd5fd6f9400e04effa02cfe701c00502f01c012fb6fcc05ffd5fd6f9400e04effa
0,40,40,0x00000bf9,42,0,0x05d030f8100009b014fa7feafb500aff602e0a4f7f03303705d030f8100009b014fa7feafb500aff602e0a4f7f033037
0,40,40,0x00000bf9,43,0,0x01802df29051f8c079ffbf64fc102d047ff603105efc0fa201802df29051f8c079ffbf64fc102d047ff603105efc0fa2
0,40,40,0x00000bf9,44,0,0x027f6e03002bff403bfa905200b021fa502e02c061f7afd3027f6e03002bff403bfa905200b021fa502e02c061f7afd3
0,40,40,0x00000bf9,45,0,0xfac051fe2037014fe800300e04efe2fd702a025fcdfa6033fac051fe2037014fe800300e04efe2fd702a025fcdfa6033
0,40,40,0x00000bf9,46,0,0xfb607502ffbcff4ffd074fa3041fe1fc9ff5fedff5034005fb607502ffbcff4ffd074fa3041fe1fc9ff5fedff5034005
0,40,40,0x00000bf9,47,0,0xfdeff907df94039013f93014fcdfd3037ff6fd8028fddffdfdeff907df94039013f93014fcdfd3037ff6fd8028fddffd
0,40,40,0x00000bf9,48,0,0xfcb027016001045009f6e069089fd6fbd04ffdcfdd03701afcb027016001045009f6e069089fd6fbd04ffdcfdd03701a
0,40,40,0x00000bf9,49,0,0x03e065feafc502a090f9cfc9fc400001afb9041fca042ff303e065feafc502a090f9cfc9fc400001afb9041fca042ff3
0,40,40,0x00000bf9,50,0,0x012015fe2fb7023fbd001fc4fd201900701efd7033ff5fca012015fe2fb7023fbd001fc4fd201900701efd7033ff5fca
0,40,40,0x00000bf9,51,0,0x00405bfc7fdefd9026fd7024fedfe0006026f9c03503ffdb00405bfc7fdefd9026fd7024fedfe0006026f9c03503ffdb
0,40,40,0x00000bf9,52,0,0xff304affffd7fc3fc9031020fab035039004026013fdb02dff304affffd7fc3fc9031020fab035039004026013fdb02d
0,40,40,0x00000bf9,53,0,0x01201702bf90059ff4fef03efa009905bf87fe2067fa5ff001201702bf90059ff4fef03efa009905bf87fe2067fa5ff0
0,40,40,0x00000bf9,54,0,0xf74ff204cfd4ff004ef9bfe0033040ff0fbe022fd5003013f74ff204cfd4ff004ef9bfe0033040ff0fbe022fd5003013
0,40,40,0x00000bf9,55,0,0xffbfabfd30b5fac08efecfeffe4056ff0fb7f85039043fc5ffbfabfd30b5fac08efecfeffe4056ff0fb7f85039043fc5
0,40,40,0x00000bf9,56,0,0x00bf6b02206f01cfaf033fd101eff305af9bff301603000600bf6b02206f01cfaf033fd101eff305af9bff3016030006
0,40,40,0x00000bf9,57,0,0xfcfffffed05e077fa1fa5082fe002efeffd3fc2049ff6fdafcfffffed05e077fa1fa5082fe002efeffd3fc2049ff6fda
0,40,40,0x00000bf9,58,0,0xfc604c01bff7fd1fe002300c0c4005fc1ff0ff2f7d096f80fc604c01bff7fd1fe002300c0c4005fc1ff0ff2f7d096f80
0,40,40,0x00000bf9,59,0,0xff501d056fa6000fd502e02b00903ffb0f7d03afcbfed05eff501d056fa6000fd502e02b00903ffb0f7d03afcbfed05e
0,40,40,0x00000bf9,60,0,0x0b7017fc2fe5fe8062f9202bfdbfd8041ffc031fb3fd800c0b7017fc2fe5fe8062f9202bfdbfd8041ffc031fb3fd800c
0,40,40,0x00000bf9,61,0,0x055036feef44014fc5fdb02b034031ffefe4f9afbfffd06b055036feef44014fc5fdb02b034031ffefe4f9afbfffd06b
0,40,40,0x00000bf9,62,0,0x00bfca01efa9febfbb044022fec00efe1fda027fd8ffa07400bfca01efa9febfbb044022fec00efe1fda027fd8ffa074
0,40,40,0x00000bf9,63,1,0x000fbd00703300102400fff8f7e03b00000a014fb5ff3019000fbd00703300102400fff8f7e03b00000a014fb5ff3019
1,76,76,0x00002c82,0,0,0x09efd4f9103d00f034ff6fcd005fe9fadfe9fcffbc036ff609efd4f9103d00f034ff6fcd005fe9fadfe9fcffbc036ff6
1,76,76,0x00002c82,1,0,0x038ff4f8cfec03e01bfb8ff4fa2015fea057fe6064fd1040038ff4f8cfec03e01bfb8ff4fa2015fea057fe6064fd1040
1,76,76,0x00002c82,2,0,0x02efe1f59090fcaff1017fd300afca068ffa01600c00bfcb02efe1f59090fcaff1017fd300afca068ffa01600c00bfcb
1,76,76,0x00002c82,3,0,0xfa6ffb04000dfe8fe600a05204d006fa302800f008036fbbfa6ffb04000dfe8fe600a05204d006fa302800f008036fbb
1,76,76,0x00002c82,4,0,0x045ffc000009fbd016050fccfafff501efdffa0ffa06bf99045ffc000009fbd016050fccfafff501efdffa0ffa06bf99
1,76,76,0x00002c82,5,0,0xfdf04bfbfff0fdfff3051005040038ff902bfca012035036fdf04bfbfff0fdfff3051005040038ff902bfca012035036
1,76,76,0x00002c82,6,0,0x03efc8ff4009fd0000097f76fba056058f3301c03b00efb503efc8ff4009fd0000097f76fba056058f3301c03b00efb5
1,76,76,0x00002c82,7,0,0xfc401afd802102ff7f00205305efc801afecfd5022f9c029fc401afd802102ff7f00205305efc801afecfd5022f9c029
1,76,76,0x00002c82,8,0,0xfe402404bfedfe8ffd02500701d058f4902bfb503a016009fe402404bfedfe8ffd02500701d058f4902bfb503a016009
1,76,76,0x00002c82,9,0,0xf9d08cfd8fbefae05000dfeb007010fae024fc5fe704bffaf9d08cfd8fbefae05000dfeb007010fae024fc5fe704bffa
1,76,76,0x00002c82,10,0,0xf2fffd0b2fe6060000fedfff00cff9035fe802e006050fe3f2fffd0b2fe6060000fedfff00cff9035fe802e006050fe3
1,76,76,0x00002c82,11,0,0xfb61460c8f54fc2f9901efe2ff9036038fa1005037fe1fa7fb61460c8f54fc2f9901efe2ff9036038fa1005037fe1fa7
1,76,76,0x00002c82,12,0,0x0a1fc8f64f54f7a0890d9fddfa4057feffbdfaa0ebff7fc30a1fc8f64f54f7a0890d9fddfa4057feffbdfaa0ebff7fc3
1,76,76,0x00002c82,13,0,0xf7af5901f08e02d060fc7f52f7c04711ef9f0d302df45fa8f7af5901f08e02d060fc7f52f7c04711ef9f0d302df45fa8
1,76,76,0x00002c82,14,0,0x025f6b0890ac017f9cfb3088132092fceee2fb1f8e000027025f6b0890ac017f9cfb3088132092fceee2fb1f8e000027
1,76,76,0x00002c82,15,0,0x0730dbf8cf91fe4017002025feaf1cf43049003ffd06b00e0730dbf8cf91fe4017002025feaf1cf43049003ffd06b00e
