sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
84,0x003ff8bb,-0.908691,0,0,1,203,1.015,85470,85722,86483
85,0x003ff7cf,-1.023926,0,0,1,202,1.010,86486,86738,87498
86,0x003ff53d,-1.345215,0,0,1,203,1.015,87498,87750,88513
87,0x003ff58a,-1.307617,0,0,1,203,1.015,88514,88766,89528
88,0x003ff873,-0.943848,0,0,1,203,1.015,89530,89782,90543
89,0x003ff824,-0.982422,0,0,1,202,1.010,90546,90798,91558
90,0x003ff6a6,-1.168945,0,0,1,203,1.015,91558,91810,92573
91,0x003ff5b5,-1.286621,0,0,1,203,1.015,92574,92826,93588
92,0x003ff412,-1.491211,0,0,1,203,1.015,93590,93842,94603
93,0x003ff48e,-1.430664,0,0,1,202,1.010,94606,94858,95618
94,0x003ff720,-1.109375,0,0,1,203,1.015,95618,95870,96633
95,0x003ff650,-1.210938,0,0,1,203,1.015,96634,96886,97648
96,0x003ff4e7,-1.387207,0,0,1,203,1.015,97650,97902,98663
97,0x003ff4a7,-1.418457,0,0,1,202,1.010,98666,98918,99678
98,0x003ff498,-1.425781,0,0,1,203,1.015,99678,99930,100693
99,0x003ff4c7,-1.402832,0,0,1,203,1.015,100694,100946,101708
100,0x003ff5f9,-1.253418,0,0,1,203,1.015,101710,101962,102723
101,0x003ff531,-1.351074,0,0,1,202,1.010,102726,102978,103738
102,0x003ff425,-1.481934,0,0,1,203,1.015,103738,103990,104753
103,0x003ff3d9,-1.519043,0,0,1,203,1.015,104754,105006,105768
104,0x003ff3c6,-1.528320,0,0,1,203,1.015,105770,106022,106783
105,0x003ff47a,-1.440430,0,0,1,202,1.010,106786,107038,107798
106,0x003ff487,-1.434082,0,0,1,203,1.015,107798,108050,108813
107,0x003ff396,-1.551758,0,0,1,203,1.015,108814,109066,109828
108,0x003ff35f,-1.578613,0,0,1,203,1.015,109830,110082,110843
