sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
0,0x003ff54b,-1.338379,0,0,1,202,1.010,234,486,1243
1,0x003ff667,-1.199707,0,0,1,201,1.005,1246,1498,2253
2,0x003ff643,-1.217285,0,0,1,202,1.010,2254,2506,3263
3,0x003ff624,-1.232422,0,0,1,201,1.005,3266,3518,4273
4,0x003ff70e,-1.118164,0,0,1,202,1.010,4274,4526,5283
5,0x003ff590,-1.304688,0,0,1,202,1.010,5286,5538,6298
6,0x003ff5b1,-1.288574,0,0,1,203,1.015,6298,6550,7313
7,0x003ff651,-1.210449,0,0,1,203,1.015,7314,7566,8328
8,0x003ff4ae,-1.415039,0,0,1,203,1.015,8330,8582,9343
9,0x003ff574,-1.318359,0,0,1,202,1.010,9346,9598,10358
10,0x003ff5b3,-1.287598,0,0,1,203,1.015,10358,10610,11373
11,0x003ff47f,-1.437988,0,0,1,203,1.015,11374,11626,12388
12,0x003ff5e9,-1.261230,0,0,1,203,1.015,12390,12642,13403
13,0x003ff68d,-1.181152,0,0,1,202,1.010,13406,13658,14418
14,0x003ff42f,-1.477051,0,0,1,203,1.015,14418,14670,15433
15,0x003ff509,-1.370605,0,0,1,203,1.015,15434,15686,16448
16,0x003ff4c1,-1.405762,0,0,1,203,1.015,16450,16702,17463
17,0x003ff374,-1.568359,0,0,1,202,1.010,17466,17718,18478
18,0x003ff5d1,-1.272949,0,0,1,203,1.015,18478,18730,19493
19,0x003ff673,-1.193848,0,0,1,203,1.015,19494,19746,20508
20,0x003ff3ed,-1.509277,0,0,1,203,1.015,20510,20762,21523
21,0x003ff519,-1.362793,0,0,1,202,1.010,21526,21778,22538
22,0x003ff481,-1.437012,0,0,1,203,1.015,22538,22790,23553
23,0x003ff3d3,-1.521973,0,0,1,203,1.015,23554,23806,24568
24,0x003ff6d1,-1.147949,0,0,1,203,1.015,24570,24822,25583
25,0x003ff65d,-1.204590,0,0,1,202,1.010,25586,25838,26598
26,0x003ff437,-1.473145,0,0,1,203,1.015,26598,26850,27613
27,0x003ff531,-1.351074,0,0,1,203,1.015,27614,27866,28628
28,0x003ff4db,-1.393066,0,0,1,203,1.015,28630,28882,29643
29,0x003ff4b2,-1.413086,0,0,1,202,1.010,29646,29898,30658
30,0x003ff7fc,-1.001953,0,0,1,203,1.015,30658,30910,31673
31,0x003ff767,-1.074707,0,0,1,203,1.015,31674,31926,32688
32,0x003ff4bf,-1.406738,0,0,1,203,1.015,32690,32942,33703
33,0x003ff5a4,-1.294922,0,0,1,202,1.010,33706,33958,34718
34,0x003ff638,-1.222656,0,0,1,203,1.015,34718,34970,35733
35,0x003ff5fd,-1.251465,0,0,1,203,1.015,35734,35986,36748
36,0x003ff8db,-0.893066,0,0,1,203,1.015,36750,37002,37763
37,0x003ff765,-1.075684,0,0,1,202,1.010,37766,38018,38778
38,0x003ff45c,-1.455078,0,0,1,203,1.015,38778,39030,39793
39,0x003ff517,-1.363770,0,0,1,203,1.015,39794,40046,40808
40,0x003ff6c8,-1.152344,0,0,1,203,1.015,40810,41062,41823
41,0x003ff618,-1.238281,0,0,1,202,1.010,41826,42078,42838
42,0x003ff844,-0.966797,0,0,1,203,1.015,42838,43090,43853
43,0x003ff78f,-1.055176,0,0,1,203,1.015,43854,44106,44868
44,0x003ff4bb,-1.408691,0,0,1,203,1.015,44870,45122,45883
45,0x003ff579,-1.315918,0,0,1,202,1.010,45886,46138,46898
46,0x003ff78b,-1.057129,0,0,1,203,1.015,46898,47150,47913
47,0x003ff69b,-1.174316,0,0,1,203,1.015,47914,48166,48928
48,0x003ff7b6,-1.036133,0,0,1,203,1.015,48930,49182,49943
49,0x003ff7f0,-1.007812,0,0,1,202,1.010,49946,50198,50958
50,0x003ff54f,-1.336426,0,0,1,203,1.015,50958,51210,51973
51,0x003ff6c4,-1.154297,0,0,1,203,1.015,51974,52226,52988
52,0x003ff80c,-0.994141,0,0,1,203,1.015,52990,53242,54003
53,0x003ff782,-1.061523,0,0,1,202,1.010,54006,54258,55018
54,0x003ff85d,-0.954590,0,0,1,203,1.015,55018,55270,56033
55,0x003ff8bc,-0.908203,0,0,1,203,1.015,56034,56286,57048
56,0x003ff672,-1.194336,0,0,1,203,1.015,57050,57302,58063
57,0x003ff8a0,-0.921875,0,0,1,202,1.010,58066,58318,59078
58,0x003ff9c2,-0.780273,0,0,1,203,1.015,59078,59330,60093
59,0x003ffa2f,-0.727051,0,0,1,203,1.015,60094,60346,61108
60,0x003ff9c5,-0.778809,0,0,1,203,1.015,61110,61362,62123
61,0x003ffaf3,-0.631348,0,0,1,202,1.010,62126,62378,63138
62,0x003ffaa9,-0.667480,0,0,1,203,1.015,63138,63390,64153
63,0x003ffc6e,-0.446289,0,0,1,203,1.015,64154,64406,65168
64,0x003ffcad,-0.415527,0,0,1,203,1.015,65170,65422,66183
65,0x003ffdb1,-0.288574,0,0,1,202,1.010,66186,66438,67198
66,0x003ffdf4,-0.255859,0,0,1,203,1.015,67198,67450,68213
67,0x003ffe5e,-0.204102,0,0,1,203,1.015,68214,68466,69228
68,0x003ffc72,-0.444336,0,0,1,203,1.015,69230,69482,70243
69,0x003ffde1,-0.265137,0,0,1,202,1.010,70246,70498,71258
70,0x003fff1a,-0.112305,0,0,1,203,1.015,71258,71510,72273
71,0x003fffb6,-0.036133,0,0,1,203,1.015,72274,72526,73288
72,0x003fffc4,-0.029297,0,0,1,203,1.015,73290,73542,74303
73,0x00000072,0.055664,0,1,0,202,1.010,74306,74558,75318
74,0x003ffec5,-0.153809,0,0,1,203,1.015,75870,76122,76883
75,0x003fff19,-0.112793,0,0,1,202,1.010,76886,77138,77898
76,0x0000004b,0.036621,0,1,0,203,1.015,77898,78150,78913
