event_index,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_data_hex,event_output_time_ns,event_valid,event_ready,event_fire
0,73,73,0x00000072,0,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000b01d01d01e,75614,1,1,1
0,73,73,0x00000072,1,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000015013000010,75618,1,1,1
0,73,73,0x00000072,2,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000801201a015,75622,1,1,1
0,73,73,0x00000072,3,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000a010002010,75626,1,1,1
0,73,73,0x00000072,4,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001601a01000b,75630,1,1,1
0,73,73,0x00000072,5,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000006013020006,75634,1,1,1
0,73,73,0x00000072,6,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001000effb00d,75638,1,1,1
0,73,73,0x00000072,7,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001e02601801a,75642,1,1,1
0,73,73,0x00000072,8,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000016006018000,75646,1,1,1
0,73,73,0x00000072,9,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001501e005005,75650,1,1,1
0,73,73,0x00000072,10,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000022020023016,75654,1,1,1
0,73,73,0x00000072,11,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffe006003016,75658,1,1,1
0,73,73,0x00000072,12,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000012ffe01001b,75662,1,1,1
0,73,73,0x00000072,13,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000006ff8ff801a,75666,1,1,1
0,73,73,0x00000072,14,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000600a03d016,75670,1,1,1
0,73,73,0x00000072,15,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000febff8016032,75674,1,1,1
0,73,73,0x00000072,16,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000010033023013,75678,1,1,1
0,73,73,0x00000072,17,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000032ffeffbff8,75682,1,1,1
0,73,73,0x00000072,18,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000d02b03e032,75686,1,1,1
0,73,73,0x00000072,19,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ffefe5ffe,75690,1,1,1
0,73,73,0x00000072,20,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000002303502d02a,75694,1,1,1
0,73,73,0x00000072,21,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000002ff300002a,75698,1,1,1
0,73,73,0x00000072,22,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000a018015ffe,75702,1,1,1
0,73,73,0x00000072,23,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000001e01bff3022,75706,1,1,1
0,73,73,0x00000072,24,0,0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000025030ffa020,75710,1,1,1
0,73,73,0x00000072,25,0,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000bffeffe00b,75714,1,1,1
