x-axis,1
second,Volt
-100.000E-09,+2.187499951E-03
-99.000E-09,+2.812499937E-03
-98.000E-09,+2.499999944E-03
-97.000E-09,+937.499979E-06
-96.000E-09,+3.749999916E-03
-95.000E-09,+1.874999958E-03
-94.000E-09,+2.812499937E-03
-93.000E-09,+0.0E+00
-92.000E-09,+624.999986E-06
-91.000E-09,+3.437499923E-03
-90.000E-09,+3.749999916E-03
-89.000E-09,+3.437499923E-03
-88.000E-09,+6.249999860E-03
-87.000E-09,+3.437499923E-03
-86.000E-09,+4.687499895E-03
-85.000E-09,+0.0E+00
-84.000E-09,-624.999986E-06
-83.000E-09,+4.374999902E-03
-82.000E-09,+5.624999874E-03
-81.000E-09,+5.624999874E-03
-80.000E-09,+5.624999874E-03
-79.000E-09,+1.562499965E-03
-78.000E-09,+2.812499937E-03
-77.000E-09,+3.749999916E-03
-76.000E-09,+5.624999874E-03
-75.000E-09,+3.437499923E-03
-74.000E-09,+4.374999902E-03
-73.000E-09,+624.999986E-06
-72.000E-09,+624.999986E-06
-71.000E-09,-624.999986E-06
-70.000E-09,+2.187499951E-03
-69.000E-09,+1.874999958E-03
-68.000E-09,+4.062499909E-03
-67.000E-09,+3.437499923E-03
-66.000E-09,+1.562499965E-03
-65.000E-09,+5.937499867E-03
-64.000E-09,+5.624999874E-03
-63.000E-09,+6.249999860E-03
-62.000E-09,+6.562499853E-03
-61.000E-09,+5.937499867E-03
-60.000E-09,+1.562499965E-03
-59.000E-09,+3.749999916E-03
-58.000E-09,-312.499993E-06
-57.000E-09,+1.562499965E-03
-56.000E-09,+1.249999972E-03
-55.000E-09,+5.624999874E-03
-54.000E-09,+3.437499923E-03
-53.000E-09,-624.999986E-06
-52.000E-09,+3.437499923E-03
-51.000E-09,+1.874999958E-03
-50.000E-09,+5.624999874E-03
-49.000E-09,+2.187499951E-03
-48.000E-09,+1.874999958E-03
-47.000E-09,+2.812499937E-03
-46.000E-09,+4.687499895E-03
-45.000E-09,+6.562499853E-03
-44.000E-09,+5.624999874E-03
-43.000E-09,+4.687499895E-03
-42.000E-09,+1.874999958E-03
-41.000E-09,+312.499993E-06
-40.000E-09,+3.124999930E-03
-39.000E-09,+2.812499937E-03
-38.000E-09,-624.999986E-06
-37.000E-09,+5.937499867E-03
-36.000E-09,+1.874999958E-03
-35.000E-09,+2.812499937E-03
-34.000E-09,+4.687499895E-03
-33.000E-09,+5.937499867E-03
-32.000E-09,+5.937499867E-03
-31.000E-09,+3.124999930E-03
-30.000E-09,+4.999999888E-03
-29.000E-09,+3.124999930E-03
-28.000E-09,+2.187499951E-03
-27.000E-09,+624.999986E-06
-26.000E-09,+2.187499951E-03
-25.000E-09,+3.437499923E-03
-24.000E-09,-624.999986E-06
-23.000E-09,+1.249999972E-03
-22.000E-09,+2.812499937E-03
-21.000E-09,+4.687499895E-03
-20.000E-09,+5.312499881E-03
-19.000E-09,+3.437499923E-03
-18.000E-09,+1.562499965E-03
-17.000E-09,+5.937499867E-03
-16.000E-09,+5.624999874E-03
-15.000E-09,+4.999999888E-03
-14.000E-09,+3.124999930E-03
-13.000E-09,+624.999986E-06
-12.000E-09,+4.687499895E-03
-11.000E-09,+4.999999888E-03
-10.000E-09,+5.312499881E-03
-9.000E-09,+2.187499951E-03
-8.000E-09,+2.812499937E-03
-7.000E-09,+4.374999902E-03
-6.000E-09,+4.062499909E-03
-5.000E-09,+3.124999930E-03
-4.000E-09,-2.187499951E-03
-3.000E-09,+312.499993E-06
-2.000E-09,+1.249999972E-03
-1.000E-09,+5.312499881E-03
-0.0E+00,+1.249999972E-03
+1.000E-09,+1.874999958E-03
+2.000E-09,+4.687499895E-03
+3.000E-09,+4.687499895E-03
+4.000E-09,+7.812499825E-03
+5.000E-09,+4.999999888E-03
+6.000E-09,+5.937499867E-03
+7.000E-09,-1.562499965E-03
+8.000E-09,+937.499979E-06
+9.000E-09,+3.749999916E-03
+10.000E-09,+4.062499909E-03
+11.000E-09,+3.437499923E-03
+12.000E-09,+1.562499965E-03
+13.000E-09,+4.062499909E-03
+14.000E-09,+5.312499881E-03
+15.000E-09,+3.124999930E-03
+16.000E-09,+4.062499909E-03
+17.000E-09,+3.124999930E-03
+18.000E-09,+6.249999860E-03
+19.000E-09,+3.749999916E-03
+20.000E-09,+2.499999944E-03
+21.000E-09,+1.874999958E-03
+22.000E-09,+3.749999916E-03
+23.000E-09,+2.187499951E-03
+24.000E-09,+312.499993E-06
+25.000E-09,+2.812499937E-03
+26.000E-09,+5.937499867E-03
+27.000E-09,+7.499999832E-03
+28.000E-09,+2.187499951E-03
+29.000E-09,+2.187499951E-03
+30.000E-09,+3.124999930E-03
+31.000E-09,+3.437499923E-03
+32.000E-09,-937.499979E-06
+33.000E-09,+3.749999916E-03
+34.000E-09,+5.312499881E-03
+35.000E-09,+937.499979E-06
+36.000E-09,+2.187499951E-03
+37.000E-09,+2.812499937E-03
+38.000E-09,+7.812499825E-03
+39.000E-09,+8.124999818E-03
+40.000E-09,+2.499999944E-03
+41.000E-09,-624.999986E-06
+42.000E-09,-624.999986E-06
+43.000E-09,+1.874999958E-03
+44.000E-09,+7.499999832E-03
+45.000E-09,+8.437499811E-03
+46.000E-09,+9.062499797E-03
+47.000E-09,+2.812499937E-03
+48.000E-09,+4.062499909E-03
+49.000E-09,-1.562499965E-03
+50.000E-09,-2.812499937E-03
+51.000E-09,-3.124999930E-03
+52.000E-09,+2.812499937E-03
+53.000E-09,+2.812499937E-03
+54.000E-09,+3.749999916E-03
+55.000E-09,+8.437499811E-03
+56.000E-09,+5.624999874E-03
+57.000E-09,+1.874999958E-03
+58.000E-09,+3.437499923E-03
+59.000E-09,+4.062499909E-03
+60.000E-09,+4.687499895E-03
+61.000E-09,-624.999986E-06
+62.000E-09,-312.499993E-06
+63.000E-09,-0.0E+00
+64.000E-09,+4.999999888E-03
+65.000E-09,+7.187499839E-03
+66.000E-09,+5.312499881E-03
+67.000E-09,+5.312499881E-03
+68.000E-09,+4.062499909E-03
+69.000E-09,+3.749999916E-03
+70.000E-09,+3.437499923E-03
+71.000E-09,+4.999999888E-03
+72.000E-09,+1.249999972E-03
+73.000E-09,+937.499979E-06
+74.000E-09,+7.187499839E-03
+75.000E-09,+1.249999972E-03
+76.000E-09,+3.437499923E-03
+77.000E-09,+312.499993E-06
+78.000E-09,+2.499999944E-03
+79.000E-09,+2.187499951E-03
+80.000E-09,+3.124999930E-03
+81.000E-09,+4.374999902E-03
