Time,CH1
-1e-07,-0.00032100002
-9.9e-08,-0.001883499985
-9.8e-08,-0.00032100002
-9.7e-08,0.00233524992
-9.6e-08,0.0009289999519999999
-9.5e-08,-0.004383499929
-9.4e-08,-0.002508499971
-9.3e-08,-0.00047725001700000007
-9.2e-08,-0.0001647500240000001
-9.1e-08,0.0034289998959999997
-9e-08,0.001397749941
-8.9e-08,0.0012414999449999998
-8.8e-08,-0.00032100002
-8.7e-08,0.003116499903
-8.6e-08,0.00280399991
-8.5e-08,-0.00391474994
-8.4e-08,-0.004070999936
-8.3e-08,-0.002352249975
-8.2e-08,0.0004602499619999999
-8.1e-08,0.000616499959
-8e-08,-0.00032100002
-7.9e-08,-0.001883499985
-7.8e-08,0.001553999938
-7.7e-08,-0.0001647500240000001
-7.6e-08,-0.00032100002
-7.5e-08,0.002022749927
-7.4e-08,0.0012414999449999998
-7.3e-08,0.00280399991
-7.2e-08,0.0009289999519999999
-7.1e-08,-0.0048522499190000005
-7e-08,0.001866499931
-6.9e-08,0.001866499931
-6.8e-08,0.0017102499339999998
-6.7e-08,-0.001727249989
-6.6e-08,-0.006102249891
-6.5e-08,-0.003758499943
-6.4e-08,0.002178999924
-6.3e-08,0.002647749913
-6.2e-08,0.00233524992
-6.1e-08,0.004678999868
-6e-08,-0.002352249975
-5.9e-08,-0.003289749954
-5.8e-08,-0.001883499985
-5.7e-08,-0.002977249961
-5.6e-08,-0.000946000006
-5.5e-08,0.002491499917
-5.4e-08,0.0004602499619999999
-5.3e-08,0.000616499959
-5.2e-08,0.001397749941
-5.1e-08,0.0004602499619999999
-5e-08,0.004053999882
-4.9e-08,-0.00078975001
-4.8e-08,-0.004539749926
-4.7e-08,-0.001258499999
-4.6e-08,0.001553999938
-4.5e-08,0.002960249906
-4.4e-08,0.0012414999449999998
-4.3e-08,0.0012414999449999998
-4.2e-08,0.000616499959
-4.1e-08,0.002022749927
-4e-08,-0.00032100002
-3.9e-08,0.0017102499339999998
-3.8e-08,0.0012414999449999998
-3.7e-08,-0.001414749996
-3.6e-08,-0.002195999978
-3.5e-08,-0.001727249989
-3.4e-08,-0.0011022500030000001
-3.3e-08,0.00233524992
-3.2e-08,-0.0011022500030000001
-3.1e-08,0.0017102499339999998
-3e-08,0.00233524992
-2.9e-08,0.002178999924
-2.8e-08,0.0042102498790000005
-2.7e-08,0.0037414998889999996
-2.6e-08,-0.000946000006
-2.5e-08,-0.002508499971
-2.4e-08,-0.002820999964
-2.3e-08,-0.001727249989
-2.2e-08,-0.00078975001
-2.1e-08,-0.001258499999
-2e-08,0.000772749955
-1.9e-08,-0.004227249933
-1.8e-08,-0.000946000006
-1.7e-08,-0.001570999992
-1.6e-08,-0.0006335000130000001
-1.5e-08,0.003272749899
-1.4e-08,0.004835249865
-1.3e-08,-0.0011022500030000001
-1.2e-08,0.0004602499619999999
-1.1e-08,0.002647749913
-1e-08,0.002960249906
-9e-09,0.004991499861
-8e-09,0.0034289998959999997
-7e-09,-0.00047725001700000007
-6e-09,0.0004602499619999999
-5e-09,-0.002508499971
-4e-09,-0.005320999908
-3e-09,-0.004695999922
-2e-09,-0.007195999866999999
-1e-09,0.0012414999449999998
-0.0,0.003116499903
1e-09,0.002960249906
2e-09,0.00233524992
3e-09,0.002022749927
4e-09,-0.0006335000130000001
5e-09,-0.0011022500030000001
6e-09,-0.002195999978
7e-09,-0.000946000006
8e-09,0.002647749913
9e-09,0.000147749969
1e-08,-0.00344599995
1.1e-08,-0.00078975001
1.2e-08,0.0009289999519999999
1.3e-08,0.0004602499619999999
1.4e-08,0.001553999938
1.5e-08,0.001085249948
1.6e-08,0.00233524992
1.7e-08,-0.002195999978
1.8e-08,-0.001883499985
1.9e-08,-0.001570999992
2e-08,0.001553999938
2.1e-08,-0.0006335000130000001
2.2e-08,0.000616499959
2.3e-08,-0.0011022500030000001
2.4e-08,-0.001258499999
2.5e-08,0.00030399996599999994
2.6e-08,-0.002195999978
2.7e-08,-0.000946000006
2.8e-08,0.000772749955
2.9e-08,0.002178999924
3e-08,-0.0001647500240000001
3.1e-08,0.0037414998889999996
3.2e-08,0.0012414999449999998
3.3e-08,-8.500026999999936e-06
3.4e-08,0.000616499959
3.5e-08,-0.000946000006
3.6e-08,-0.002352249975
3.7e-08,-0.00032100002
3.8e-08,-8.500026999999936e-06
3.9e-08,-0.001414749996
4e-08,0.000616499959
4.1e-08,0.0017102499339999998
4.2e-08,-0.00078975001
4.3e-08,-0.000946000006
4.4e-08,0.0004602499619999999
4.5e-08,-0.0001647500240000001
4.6e-08,-0.002977249961
4.7e-08,-0.0006335000130000001
4.8e-08,0.00233524992
4.9e-08,-0.002039749982
5e-08,0.000616499959
5.1e-08,0.000772749955
5.2e-08,0.002022749927
5.3e-08,0.0037414998889999996
5.4e-08,0.001397749941
5.5e-08,0.0017102499339999998
5.6e-08,-0.0006335000130000001
5.7e-08,-0.0011022500030000001
5.8e-08,-0.00344599995
5.9e-08,-0.003758499943
6e-08,0.0012414999449999998
6.1e-08,0.001397749941
6.2e-08,-0.002039749982
6.3e-08,0.0004602499619999999
6.4e-08,0.0017102499339999998
6.5e-08,0.001085249948
6.6e-08,0.0017102499339999998
6.7e-08,0.001085249948
6.8e-08,-0.002039749982
6.9e-08,-0.002508499971
7e-08,-0.00391474994
7.1e-08,0.005772749844000001
7.2e-08,0.003272749899
7.3e-08,-8.500026999999936e-06
7.4e-08,-0.004227249933
7.5e-08,-0.000946000006
7.6e-08,-0.000946000006
7.7e-08,-0.006258499887
7.8e-08,-0.001570999992
7.9e-08,-0.002820999964
8e-08,0.001553999938
8.1e-08,-0.001883499985
8.2e-08,0.001397749941
8.3e-08,-0.001258499999
8.4e-08,0.003272749899
8.5e-08,0.003272749899
8.6e-08,0.004835249865
8.7e-08,-0.001570999992
8.8e-08,-0.001414749996
8.9e-08,-0.00047725001700000007
9e-08,0.000616499959
9.1e-08,0.000772749955
9.2e-08,0.002022749927
9.3e-08,0.0034289998959999997
9.4e-08,0.000772749955
9.5e-08,-0.003758499943
9.6e-08,-0.001414749996
9.7e-08,-8.500026999999936e-06
9.8e-08,0.0004602499619999999
9.9e-08,-0.000946000006
1e-07,0.00030399996599999994
1.01e-07,0.0012414999449999998
1.02e-07,0.00030399996599999994
1.03e-07,-0.00047725001700000007
1.04e-07,0.000616499959
1.05e-07,0.001866499931
1.06e-07,0.001866499931
1.07e-07,-0.0001647500240000001
1.08e-07,-0.002820999964
1.09e-07,-0.0026647499679999997
1.1e-07,-0.001727249989
