Time,CH1
-1e-07,-0.0014285000489999999
-9.9e-08,-0.00017850007699999997
-9.8e-08,-0.003616
-9.7e-08,0.0004464999090000002
-9.6e-08,-0.001116000056
-9.5e-08,-0.00017850007699999997
-9.4e-08,0.001071499895
-9.3e-08,0.003258999846
-9.2e-08,0.0020089998740000004
-9.1e-08,0.001071499895
-9e-08,0.001071499895
-8.9e-08,-0.00017850007699999997
-8.8e-08,0.004196499825
-8.7e-08,-0.0008035000629999997
-8.6e-08,-0.0004910000699999998
-8.5e-08,-0.0008035000629999997
-8.4e-08,-0.00017850007699999997
-8.3e-08,0.00013399991600000034
-8.2e-08,0.00013399991600000034
-8.1e-08,0.0023214998670000003
-8e-08,0.0020089998740000004
-7.9e-08,0.003571499839
-7.8e-08,-0.0004910000699999998
-7.7e-08,-0.002366000028
-7.6e-08,0.00263399986
-7.5e-08,-0.0008035000629999997
-7.4e-08,-0.002053500035
-7.3e-08,-0.0029910000139999997
-7.2e-08,0.00263399986
-7.1e-08,0.0020089998740000004
-7e-08,0.00263399986
-6.9e-08,0.001071499895
-6.8e-08,-0.002366000028
-6.7e-08,-0.004240999986
-6.6e-08,0.00263399986
-6.5e-08,-0.0004910000699999998
-6.4e-08,-0.0008035000629999997
-6.3e-08,-0.001116000056
-6.2e-08,0.00013399991600000034
-6.1e-08,-0.003303500007
-6e-08,-0.00017850007699999997
-5.9e-08,-0.0029910000139999997
-5.8e-08,-0.0014285000489999999
-5.7e-08,0.0007589999020000001
-5.6e-08,0.002946499853
-5.5e-08,0.002946499853
-5.4e-08,-0.0004910000699999998
-5.3e-08,-0.0014285000489999999
-5.2e-08,0.0013839998879999998
-5.1e-08,0.0020089998740000004
-5e-08,0.001071499895
-4.9e-08,0.0023214998670000003
-4.8e-08,-0.0004910000699999998
-4.7e-08,0.003571499839
-4.6e-08,0.00013399991600000034
-4.5e-08,-0.0004910000699999998
-4.4e-08,-0.0004910000699999998
-4.3e-08,-0.0029910000139999997
-4.2e-08,0.003571499839
-4.1e-08,0.0004464999090000002
-4e-08,0.003571499839
-3.9e-08,0.0020089998740000004
-3.8e-08,-0.0008035000629999997
-3.7e-08,-0.002366000028
-3.6e-08,0.001071499895
-3.5e-08,-0.0017410000419999998
