sample_id,label_csv,label_npy,rtl_score,rtl_prediction,keras_score,keras_prediction,prediction_agree,score_diff_rtl_minus_keras,abs_score_diff
0,0,0,-2.728027,0,-2.10693359375,0,1,-0.62109340625,0.62109340625
1,0,0,-4.409668,0,-3.86279296875,0,1,-0.5468750312499999,0.5468750312499999
2,0,0,-2.791016,0,-2.49072265625,0,1,-0.30029334374999994,0.30029334374999994
3,0,0,-2.637695,0,-2.982421875,0,1,0.3447268750000001,0.3447268750000001
4,0,0,-0.041992,0,-2.39990234375,0,1,2.35791034375,2.35791034375
5,0,0,-1.233398,0,-2.470703125,0,1,1.237305125,1.237305125
6,0,0,-2.680664,0,-2.52978515625,0,1,-0.15087884375000016,0.15087884375000016
7,0,0,-2.736816,0,-4.2626953125,0,1,1.5258793124999999,1.5258793124999999
8,0,0,-3.719238,0,-3.03369140625,0,1,-0.6855465937499998,0.6855465937499998
9,1,1,0.825684,1,6.03369140625,1,1,-5.20800740625,5.20800740625
10,0,0,-4.455566,0,-3.36328125,0,1,-1.0922847500000001,1.0922847500000001
11,0,0,-4.063477,0,-2.46533203125,0,1,-1.5981449687499998,1.5981449687499998
12,0,0,-3.800293,0,-3.125,0,1,-0.6752929999999999,0.6752929999999999
13,0,0,-3.875488,0,-3.69580078125,0,1,-0.17968721874999982,0.17968721874999982
14,0,0,-3.513184,0,-2.57666015625,0,1,-0.9365238437499999,0.9365238437499999
15,0,0,-3.716309,0,-3.23876953125,0,1,-0.47753946874999986,0.47753946874999986
16,0,0,-3.258789,0,-4.70068359375,0,1,1.4418945937499998,1.4418945937499998
17,1,1,-1.540039,0,6.48291015625,1,0,-8.02294915625,8.02294915625
18,0,0,-1.901367,0,-3.85693359375,0,1,1.95556659375,1.95556659375
19,0,0,-1.511719,0,-1.83740234375,0,1,0.32568334374999997,0.32568334374999997
20,0,0,-2.585938,0,-2.34375,0,1,-0.24218800000000007,0.24218800000000007
21,0,0,-3.321289,0,-3.28125,0,1,-0.04003900000000016,0.04003900000000016
22,0,0,-5.04541,0,-3.2998046875,0,1,-1.7456053125000004,1.7456053125000004
23,0,0,-3.115723,0,-2.33154296875,0,1,-0.78418003125,0.78418003125
24,0,0,-4.574707,0,-3.2001953125,0,1,-1.3745116875,1.3745116875
25,0,0,-4.321289,0,-2.8701171875,0,1,-1.4511718125000002,1.4511718125000002
26,0,0,-4.172363,0,-2.7294921875,0,1,-1.4428708124999998,1.4428708124999998
27,0,0,-3.51709,0,-1.83837890625,0,1,-1.67871109375,1.67871109375
28,0,0,-3.285645,0,-1.44873046875,0,1,-1.8369145312500001,1.8369145312500001
29,0,0,-3.249023,0,-1.7626953125,0,1,-1.4863276875000002,1.4863276875000002
30,0,0,-4.890137,0,-4.3037109375,0,1,-0.5864260625000002,0.5864260625000002
31,0,0,-2.307129,0,-2.15869140625,0,1,-0.1484375937500002,0.1484375937500002
32,0,0,-2.505371,0,-4.38232421875,0,1,1.8769532187500002,1.8769532187500002
33,0,0,-3.476074,0,-1.396484375,0,1,-2.079589625,2.079589625
34,0,0,-3.030762,0,-3.5537109375,0,1,0.5229489374999998,0.5229489374999998
35,0,0,-5.310547,0,-4.13623046875,0,1,-1.1743165312499997,1.1743165312499997
36,0,0,-3.727539,0,-2.59619140625,0,1,-1.1313475937500002,1.1313475937500002
37,0,0,-2.355469,0,-3.0703125,0,1,0.7148435000000002,0.7148435000000002
38,1,1,6.667969,1,10.5849609375,1,1,-3.9169919374999997,3.9169919374999997
39,1,1,-3.312012,0,-0.4150390625,0,1,-2.8969729375,2.8969729375
40,1,1,9.310547,1,9.6279296875,1,1,-0.3173826875000003,0.3173826875000003
41,1,1,0.501465,1,2.763671875,1,1,-2.262206875,2.262206875
42,1,1,3.968262,1,7.89501953125,1,1,-3.92675753125,3.92675753125
43,0,0,-3.927246,0,-3.09033203125,0,1,-0.8369139687499998,0.8369139687499998
44,0,0,-2.509277,0,-2.8134765625,0,1,0.3041995625,0.3041995625
45,1,1,7.341309,1,4.55908203125,1,1,2.78222696875,2.78222696875
46,0,0,2.493652,1,-0.9560546875,0,0,3.4497066875,3.4497066875
47,0,0,-2.439453,0,-2.5478515625,0,1,0.10839856250000013,0.10839856250000013
48,1,1,-3.180664,0,2.85302734375,1,0,-6.03369134375,6.03369134375
49,0,0,-5.077637,0,-2.2158203125,0,1,-2.8618166875,2.8618166875
50,1,1,-2.736328,0,1.64990234375,1,0,-4.38623034375,4.38623034375
51,1,1,2.999512,1,8.35546875,1,1,-5.35595675,5.35595675
52,0,0,-3.728516,0,-3.24462890625,0,1,-0.48388709374999994,0.48388709374999994
53,0,0,-3.241211,0,-2.9482421875,0,1,-0.29296881249999984,0.29296881249999984
54,0,0,-3.668457,0,-2.71435546875,0,1,-0.9541015312500001,0.9541015312500001
55,1,1,3.103027,1,5.427734375,1,1,-2.324707375,2.324707375
56,0,0,-2.825195,0,-2.88037109375,0,1,0.0551760937500001,0.0551760937500001
57,1,1,-3.339355,0,0.994140625,1,0,-4.333495624999999,4.333495624999999
58,1,1,-1.164062,0,2.39306640625,1,0,-3.55712840625,3.55712840625
59,0,0,-0.956055,0,-1.61279296875,0,1,0.65673796875,0.65673796875
60,0,0,-4.014648,0,-4.24365234375,0,1,0.22900434374999978,0.22900434374999978
61,0,0,-5.051758,0,-3.53466796875,0,1,-1.5170900312500004,1.5170900312500004
62,0,0,-4.657715,0,-3.052734375,0,1,-1.6049806249999996,1.6049806249999996
63,0,0,-3.836914,0,-2.5595703125,0,1,-1.2773436875000002,1.2773436875000002
64,0,0,-4.358887,0,-3.52587890625,0,1,-0.8330080937500002,0.8330080937500002
65,0,0,-2.476562,0,-4.00048828125,0,1,1.52392628125,1.52392628125
66,0,0,-2.233398,0,-1.74072265625,0,1,-0.4926753437500002,0.4926753437500002
67,0,0,-2.755371,0,-2.65087890625,0,1,-0.10449209374999979,0.10449209374999979
68,0,0,-2.868652,0,-3.60107421875,0,1,0.73242221875,0.73242221875
69,0,0,-3.70459,0,-3.1953125,0,1,-0.5092775,0.5092775
70,0,0,-3.814453,0,-3.40185546875,0,1,-0.41259753124999987,0.41259753124999987
71,0,0,-4.321777,0,-3.34814453125,0,1,-0.97363246875,0.97363246875
72,0,0,-1.439453,0,-3.0458984375,0,1,1.6064454375,1.6064454375
73,0,0,-2.561035,0,-3.75341796875,0,1,1.19238296875,1.19238296875
74,0,0,-2.020996,0,-0.89794921875,0,1,-1.1230467812499998,1.1230467812499998
75,0,0,-2.787598,0,-2.9599609375,0,1,0.17236293749999998,0.17236293749999998
76,1,1,12.955566,1,12.841796875,1,1,0.11376912499999925,0.11376912499999925
77,0,0,-4.352539,0,-3.15966796875,0,1,-1.1928710312500002,1.1928710312500002
78,0,0,-2.916016,0,-3.58544921875,0,1,0.6694332187500001,0.6694332187500001
79,0,0,-1.867676,0,-1.86083984375,0,1,-0.006836156249999892,0.006836156249999892
80,0,0,-2.914551,0,-1.7568359375,0,1,-1.1577150625,1.1577150625
81,0,0,-2.738281,0,-2.1796875,0,1,-0.5585935000000002,0.5585935000000002
82,0,0,-3.745605,0,-2.98095703125,0,1,-0.7646479687499999,0.7646479687499999
83,0,0,-3.572754,0,-4.3291015625,0,1,0.7563475624999998,0.7563475624999998
84,0,0,-2.431152,0,-3.11376953125,0,1,0.68261753125,0.68261753125
85,1,1,-1.483887,0,1.5126953125,1,0,-2.9965823125,2.9965823125
86,0,0,-2.885254,0,-2.259765625,0,1,-0.6254883750000002,0.6254883750000002
87,0,0,-1.007812,0,-2.52197265625,0,1,1.51416065625,1.51416065625
88,0,0,-2.589355,0,-2.9736328125,0,1,0.38427781250000015,0.38427781250000015
89,0,0,-2.612305,0,-2.22705078125,0,1,-0.3852542187500001,0.3852542187500001
90,0,0,-3.889648,0,-2.01513671875,0,1,-1.8745112812500002,1.8745112812500002
91,0,0,-4.207031,0,-1.5302734375,0,1,-2.6767575624999997,2.6767575624999997
92,0,0,-3.34668,0,-1.3251953125,0,1,-2.0214846875,2.0214846875
93,0,0,-2.832031,0,-2.42919921875,0,1,-0.4028317812500002,0.4028317812500002
94,0,0,-4.115723,0,-1.97802734375,0,1,-2.13769565625,2.13769565625
95,0,0,-4.802246,0,-3.005859375,0,1,-1.7963866250000002,1.7963866250000002
96,0,0,-3.108887,0,-2.35546875,0,1,-0.7534182500000002,0.7534182500000002
97,1,1,-0.398926,0,2.5849609375,1,0,-2.9838869375,2.9838869375
98,1,1,-0.42334,0,1.4326171875,1,0,-1.8559571875,1.8559571875
99,0,0,-3.751465,0,-3.8701171875,0,1,0.11865218749999995,0.11865218749999995
100,0,0,-2.23877,0,-2.6728515625,0,1,0.43408156249999985,0.43408156249999985
101,0,0,-1.042969,0,-1.880859375,0,1,0.837890375,0.837890375
102,0,0,-3.445801,0,-3.23876953125,0,1,-0.2070314687499999,0.2070314687499999
103,0,0,-4.79541,0,-3.71484375,0,1,-1.0805662500000004,1.0805662500000004
104,0,0,-4.184082,0,-2.453125,0,1,-1.730957,1.730957
105,1,1,-2.722168,0,-0.81201171875,0,1,-1.91015628125,1.91015628125
106,1,1,7.624512,1,9.9326171875,1,1,-2.3081051875,2.3081051875
107,0,0,-4.974609,0,-4.03662109375,0,1,-0.9379879062500001,0.9379879062500001
108,0,0,-5.373535,0,-4.27294921875,0,1,-1.1005857812500004,1.1005857812500004
109,0,0,-4.324219,0,-2.59375,0,1,-1.7304690000000003,1.7304690000000003
110,0,0,-4.501465,0,-3.3916015625,0,1,-1.1098634374999996,1.1098634374999996
111,0,0,-4.937012,0,-2.62353515625,0,1,-2.31347684375,2.31347684375
112,0,0,-4.552734,0,-3.130859375,0,1,-1.421874625,1.421874625
113,0,0,-5.000488,0,-4.38818359375,0,1,-0.6123044062499998,0.6123044062499998
114,0,0,0.40918,1,-2.79345703125,0,0,3.20263703125,3.20263703125
115,0,0,-0.929199,0,-3.712890625,0,1,2.783691625,2.783691625
116,0,0,-4.896973,0,-2.951171875,0,1,-1.945801125,1.945801125
117,0,0,-3.095215,0,-4.23095703125,0,1,1.13574203125,1.13574203125
118,0,0,-3.991699,0,-3.49609375,0,1,-0.4956052500000001,0.4956052500000001
119,0,0,-3.635254,0,-3.099609375,0,1,-0.5356446250000002,0.5356446250000002
120,0,0,-4.120117,0,-3.96533203125,0,1,-0.15478496874999959,0.15478496874999959
