sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel
125,polar_sweep,125,125,5,50.000,256,0,0
126,polar_sweep,126,126,5,50.000,256,0,0
127,polar_sweep,127,127,5,50.000,256,0,0
128,polar_sweep,128,128,5,50.000,256,0,0
129,polar_sweep,129,129,5,50.000,256,0,0
130,polar_sweep,130,130,5,50.000,256,0,0
131,polar_sweep,131,131,5,50.000,256,0,0
132,polar_sweep,132,132,5,50.000,256,0,0
133,polar_sweep,133,133,5,50.000,256,0,0
134,polar_sweep,134,134,5,50.000,256,0,0
135,polar_sweep,135,135,5,50.000,256,0,0
136,polar_sweep,136,136,5,50.000,256,0,0
137,polar_sweep,137,137,5,50.000,256,0,0
138,polar_sweep,138,138,5,50.000,256,0,0
139,polar_sweep,139,139,5,50.000,256,0,0
140,polar_sweep,140,140,5,50.000,256,0,0
141,polar_sweep,141,141,5,50.000,256,0,0
142,polar_sweep,142,142,5,50.000,256,0,0
143,polar_sweep,143,143,5,50.000,256,0,0
144,polar_sweep,144,144,5,50.000,256,0,0
145,polar_sweep,145,145,5,50.000,256,0,0
146,polar_sweep,146,146,5,50.000,256,0,0
147,polar_sweep,147,147,5,50.000,256,0,0
148,polar_sweep,148,148,5,50.000,256,0,0
149,polar_sweep,149,149,5,50.000,256,0,0
150,polar_sweep,150,150,5,50.000,256,0,0
151,polar_sweep,151,151,5,50.000,256,0,0
152,polar_sweep,152,152,5,50.000,256,0,0
153,polar_sweep,153,153,5,50.000,256,0,0
154,polar_sweep,154,154,5,50.000,256,0,0
155,polar_sweep,155,155,5,50.000,256,0,0
156,polar_sweep,156,156,5,50.000,256,0,0
157,polar_sweep,157,157,5,50.000,256,0,0
158,polar_sweep,158,158,5,50.000,256,0,0
159,polar_sweep,159,159,5,50.000,256,0,0
160,polar_sweep,160,160,5,50.000,256,0,0
161,polar_sweep,161,161,5,50.000,256,0,0
162,polar_sweep,162,162,5,50.000,256,0,0
163,polar_sweep,163,163,5,50.000,256,0,0
164,polar_sweep,164,164,5,50.000,256,0,0
165,polar_sweep,165,165,5,50.000,256,0,0
166,polar_sweep,166,166,5,50.000,256,0,0
167,polar_sweep,167,167,5,50.000,256,0,0
168,polar_sweep,168,168,5,50.000,256,0,0
169,polar_sweep,169,169,5,50.000,256,0,0
170,polar_sweep,170,170,5,50.000,256,0,0
171,polar_sweep,171,171,5,50.000,256,0,0
172,polar_sweep,172,172,5,50.000,256,0,0
173,polar_sweep,173,173,5,50.000,256,0,0
174,polar_sweep,174,174,5,50.000,256,0,0
175,polar_sweep,175,175,5,50.000,256,0,0
176,polar_sweep,176,176,5,50.000,256,0,0
177,polar_sweep,177,177,5,50.000,256,0,0
178,polar_sweep,178,178,5,50.000,256,0,0
179,polar_sweep,179,179,5,50.000,256,0,0
180,polar_sweep,180,180,5,50.000,256,0,0
181,polar_sweep,181,181,5,50.000,256,0,0
182,polar_sweep,182,182,5,50.000,256,0,0
183,polar_sweep,183,183,5,50.000,256,0,0
184,polar_sweep,184,184,5,50.000,256,0,0
185,polar_sweep,185,185,5,50.000,256,0,0
186,polar_sweep,186,186,5,50.000,256,0,0
187,polar_sweep,187,187,5,50.000,256,0,0
188,polar_sweep,188,188,5,50.000,256,0,0
189,polar_sweep,189,189,5,50.000,256,0,0
190,polar_sweep,190,190,5,50.000,256,0,0
191,polar_sweep,191,191,5,50.000,256,0,0
192,polar_sweep,192,192,5,50.000,256,0,0
193,polar_sweep,193,193,5,50.000,256,0,0
194,polar_sweep,194,194,5,50.000,256,0,0
195,polar_sweep,195,195,5,50.000,256,0,0
196,polar_sweep,196,196,5,50.000,256,0,0
197,polar_sweep,197,197,5,50.000,256,0,0
198,polar_sweep,198,198,5,50.000,256,0,0
199,polar_sweep,199,199,5,50.000,256,0,0
200,polar_sweep,200,200,5,50.000,256,0,0
201,polar_sweep,201,201,5,50.000,256,0,0
