sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
61,polar_sweep,61,61,5,50.000,256,0,0,0x00003696,6.823242,0,1,0,203,1.015
62,polar_sweep,62,62,5,50.000,256,0,0,0x0000412c,8.146484,0,1,0,203,1.015
63,polar_sweep,63,63,5,50.000,256,0,0,0x00004b00,9.375000,0,1,0,204,1.020
64,polar_sweep,64,64,5,50.000,256,0,0,0x000058a4,11.080078,0,1,0,204,1.020
65,polar_sweep,65,65,5,50.000,256,0,0,0x000055c2,10.719727,0,1,0,204,1.020
66,polar_sweep,66,66,5,50.000,256,0,0,0x0000427c,8.310547,0,1,0,203,1.015
67,polar_sweep,67,67,5,50.000,256,0,0,0x00003ce4,7.611328,0,1,0,203,1.015
68,polar_sweep,68,68,5,50.000,256,0,0,0x00003d84,7.689453,0,1,0,204,1.020
69,polar_sweep,69,69,5,50.000,256,0,0,0x00004cd8,9.605469,0,1,0,204,1.020
70,polar_sweep,70,70,5,50.000,256,0,0,0x00005b98,11.449219,0,1,0,204,1.020
71,polar_sweep,71,71,5,50.000,256,0,0,0x00005c7c,11.560547,0,1,0,203,1.015
72,polar_sweep,72,72,5,50.000,256,0,0,0x00004928,9.144531,0,1,0,203,1.015
73,polar_sweep,73,73,5,50.000,256,0,0,0x00004080,8.062500,0,1,0,204,1.020
74,polar_sweep,74,74,5,50.000,256,0,0,0x00004654,8.791016,0,1,0,204,1.020
75,polar_sweep,75,75,5,50.000,256,0,0,0x000057e4,10.986328,0,1,0,204,1.020
76,polar_sweep,76,76,5,50.000,256,0,0,0x000065dc,12.732422,0,1,0,203,1.015
77,polar_sweep,77,77,5,50.000,256,0,0,0x00006007,12.003418,0,1,0,203,1.015
78,polar_sweep,78,78,5,50.000,256,0,0,0x00004a3b,9.278809,0,1,0,204,1.020
79,polar_sweep,79,79,5,50.000,256,0,0,0x0000467b,8.810059,0,1,0,204,1.020
80,polar_sweep,80,80,5,50.000,256,0,0,0x00004713,8.884277,0,1,0,204,1.020
81,polar_sweep,81,81,5,50.000,256,0,0,0x0000469b,8.825684,0,1,0,203,1.015
82,polar_sweep,82,82,5,50.000,256,0,0,0x00004647,8.784668,0,1,0,203,1.015
83,polar_sweep,83,83,5,50.000,256,0,0,0x00003a5d,7.295410,0,1,0,204,1.020
84,polar_sweep,84,84,5,50.000,256,0,0,0x000022c9,4.348145,0,1,0,204,1.020
85,polar_sweep,85,85,5,50.000,256,0,0,0x0000183d,3.029785,0,1,0,204,1.020
86,polar_sweep,86,86,5,50.000,256,0,0,0x00001581,2.687988,0,1,0,203,1.015
87,polar_sweep,87,87,5,50.000,256,0,0,0x0000158d,2.693848,0,1,0,203,1.015
88,polar_sweep,88,88,5,50.000,256,0,0,0x00001605,2.752441,0,1,0,204,1.020
89,polar_sweep,89,89,5,50.000,256,0,0,0x000010f8,2.121094,0,1,0,204,1.020
90,polar_sweep,90,90,5,50.000,256,0,0,0x0000056e,0.678711,0,1,0,204,1.020
91,polar_sweep,91,91,5,50.000,256,0,0,0x00000076,0.057617,0,1,0,203,1.015
92,polar_sweep,92,92,5,50.000,256,0,0,0x003fffa0,-0.046875,0,0,1,203,1.015
93,polar_sweep,93,93,5,50.000,256,0,0,0x003ffee4,-0.138672,0,0,1,204,1.020
94,polar_sweep,94,94,5,50.000,256,0,0,0x003ffe48,-0.214844,0,0,1,204,1.020
95,polar_sweep,95,95,5,50.000,256,0,0,0x003ffb49,-0.589355,0,0,1,204,1.020
96,polar_sweep,96,96,5,50.000,256,0,0,0x003ff5a5,-1.294434,0,0,1,203,1.015
97,polar_sweep,97,97,5,50.000,256,0,0,0x003ff2fd,-1.626465,0,0,1,203,1.015
98,polar_sweep,98,98,5,50.000,256,0,0,0x003ff2d1,-1.647949,0,0,1,204,1.020
99,polar_sweep,99,99,5,50.000,256,0,0,0x003ff329,-1.604980,0,0,1,204,1.020
